               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11313,            0.030128,             0.07924,          0.00037777,            0.013333,          0.00019874,          1.9874e-05,            0.079403,            0.023292,            0.054266,              0.0919,              0.0009,              0.0009
                   1,            0.091206,            0.031014,            0.069848,            0.015681,                0.66,            0.060563,            0.019981,            0.044432,            0.022278,            0.050107,            0.082896,           0.0018962,           0.0018962
                   2,            0.073368,            0.030659,            0.062063,            0.012186,             0.98667,             0.10746,            0.033604,            0.042713,            0.018686,            0.047617,            0.073889,           0.0028885,           0.0028885
                   3,            0.060785,            0.028567,            0.060641,           0.0080209,                   1,             0.29337,             0.11213,            0.034557,            0.015543,            0.041605,            0.064877,           0.0038768,           0.0038768
                   4,            0.061933,            0.024213,            0.062786,             0.11969,             0.45599,             0.28293,              0.1121,             0.04089,            0.012541,            0.036215,            0.055861,           0.0048612,           0.0048612
                   5,            0.054294,            0.017989,            0.046481,            0.091507,             0.44667,             0.22201,            0.049064,            0.046977,            0.010205,             0.03623,            0.046842,           0.0058416,           0.0058416
                   6,            0.051631,            0.017783,            0.046588,             0.23321,             0.38667,             0.35931,            0.099907,            0.045542,           0.0085865,            0.033546,            0.037818,            0.006818,            0.006818
                   7,            0.055178,            0.017756,            0.049391,             0.30422,                0.76,              0.4383,             0.12529,            0.050288,           0.0089308,            0.032555,            0.028791,           0.0077905,           0.0077905
                   8,            0.057293,            0.016388,            0.048178,             0.12166,             0.51322,             0.20422,            0.049398,              0.0388,           0.0076461,            0.031506,            0.019759,            0.008759,            0.008759
                   9,            0.054806,            0.016335,            0.047321,             0.19549,             0.80667,             0.40108,             0.14831,            0.046615,           0.0060785,            0.030112,            0.010724,           0.0097236,           0.0097236
                  10,            0.059192,            0.014766,            0.042952,             0.83407,                0.24,             0.38904,             0.20463,            0.043795,           0.0060075,            0.029372,            0.009802,            0.009802,            0.009802
                  11,            0.053542,            0.014051,            0.048009,              0.3033,                0.72,             0.58461,              0.1834,            0.034911,           0.0062545,            0.028374,            0.009802,            0.009802,            0.009802
                  12,            0.058131,             0.01419,            0.043176,              0.9575,             0.32667,              0.4912,             0.21453,            0.031164,           0.0069089,            0.028165,           0.0097822,           0.0097822,           0.0097822
                  13,            0.051459,            0.013575,            0.042055,             0.30809,             0.75333,             0.58774,             0.26915,            0.039621,           0.0056057,            0.025554,           0.0097624,           0.0097624,           0.0097624
                  14,            0.053235,            0.013177,            0.043559,              0.2356,                0.68,             0.54295,             0.33385,             0.03026,           0.0058291,            0.025583,           0.0097426,           0.0097426,           0.0097426
                  15,            0.047408,            0.013596,            0.040914,             0.55107,             0.69869,             0.70793,             0.29754,            0.032103,            0.005901,            0.024603,           0.0097228,           0.0097228,           0.0097228
                  16,            0.041159,            0.012436,            0.034296,             0.24858,             0.59929,             0.51445,             0.26434,            0.050887,           0.0050438,            0.024133,            0.009703,            0.009703,            0.009703
                  17,            0.051127,            0.011877,            0.036004,             0.72877,             0.78921,              0.8518,             0.42844,            0.029404,           0.0054119,            0.022688,           0.0096832,           0.0096832,           0.0096832
                  18,            0.043397,            0.011965,            0.030964,             0.69027,             0.87307,             0.85579,             0.43249,            0.025784,           0.0064976,            0.021347,           0.0096634,           0.0096634,           0.0096634
                  19,            0.044176,            0.010907,            0.036905,             0.79147,             0.85664,             0.87907,             0.35496,            0.034541,           0.0049425,            0.019727,           0.0096436,           0.0096436,           0.0096436
                  20,            0.040237,            0.010348,            0.031913,             0.32429,             0.73925,              0.3907,             0.26908,            0.051574,           0.0054423,            0.019106,           0.0096238,           0.0096238,           0.0096238
                  21,            0.041921,            0.011291,            0.035005,             0.75324,             0.84541,             0.87308,             0.43439,            0.024833,           0.0053686,             0.01623,            0.009604,            0.009604,            0.009604
                  22,            0.038647,            0.010176,            0.027699,             0.75822,                0.94,             0.95438,             0.53378,            0.027077,            0.005272,            0.014609,           0.0095842,           0.0095842,           0.0095842
                  23,            0.038819,            0.011555,            0.032487,             0.65121,             0.87889,             0.82568,              0.4176,            0.034122,           0.0057586,            0.014582,           0.0095644,           0.0095644,           0.0095644
                  24,              0.0456,            0.011465,            0.029344,             0.62662,             0.86708,             0.84458,             0.47381,            0.021013,            0.005238,            0.012813,           0.0095446,           0.0095446,           0.0095446
                  25,             0.04388,           0.0098921,            0.030104,             0.50779,              0.9434,             0.86029,             0.45335,            0.034145,           0.0054268,            0.012054,           0.0095248,           0.0095248,           0.0095248
                  26,            0.049197,            0.011228,            0.033218,             0.90129,             0.91333,             0.96442,              0.5368,            0.023852,           0.0051682,            0.010247,            0.009505,            0.009505,            0.009505
                  27,            0.036625,            0.010877,            0.026495,              0.7235,             0.90378,             0.94871,             0.45638,            0.027764,           0.0057816,            0.010435,           0.0094852,           0.0094852,           0.0094852
                  28,            0.036498,            0.010192,            0.026335,             0.66237,             0.92052,             0.86889,             0.43751,            0.027663,           0.0057482,           0.0090147,           0.0094654,           0.0094654,           0.0094654
